Date	DayOfWeek	Name	Type
12/9/2008	Tuesday	Sacrifice Feast Holiday	National Holiday
12/10/2008	Wednesday	Sacrifice Feast Holiday	National Holiday
12/11/2008	Thursday	Sacrifice Feast Holiday	National Holiday
12/21/2008	Sunday	December Solstice	Season
12/31/2008	Wednesday	New Year's Eve	Observance
1/1/2009	Thursday	New Year's Day	National Holiday
3/20/2009	Friday	March Equinox	Season
4/23/2009	Thursday	National Sovereignty and Children's Day	National Holiday
5/1/2009	Friday	Labor and Solidarity Day	National Holiday
5/19/2009	Tuesday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/21/2009	Sunday	June Solstice	Season
8/30/2009	Sunday	Victory Day	National Holiday
9/19/2009	Saturday	Ramadan Feast Eve	Half Day
9/20/2009	Sunday	Ramadan Feast	National Holiday
9/21/2009	Monday	Ramadan Feast Holiday	National Holiday
9/22/2009	Tuesday	Ramadan Feast Holiday	National Holiday
9/23/2009	Wednesday	September Equinox	Season
10/28/2009	Wednesday	Republic Day Eve	Half Day
10/29/2009	Thursday	Republic Day	National Holiday
11/10/2009	Tuesday	Ataturk Commemoration Day	Observance
11/26/2009	Thursday	Sacrifice Feast Eve	Half Day
11/27/2009	Friday	Sacrifice Feast	National Holiday
11/28/2009	Saturday	Sacrifice Feast Holiday	National Holiday
11/29/2009	Sunday	Sacrifice Feast Holiday	National Holiday
11/30/2009	Monday	Sacrifice Feast Holiday	National Holiday
12/21/2009	Monday	December Solstice	Season
12/31/2009	Thursday	New Year's Eve	Observance
1/1/2010	Friday	New Year's Day	National Holiday
3/20/2010	Saturday	March Equinox	Season
4/23/2010	Friday	National Sovereignty and Children's Day	National Holiday
5/1/2010	Saturday	Labor and Solidarity Day	National Holiday
5/19/2010	Wednesday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/21/2010	Monday	June Solstice	Season
8/30/2010	Monday	Victory Day	National Holiday
9/8/2010	Wednesday	Ramadan Feast Eve	Half Day
9/9/2010	Thursday	Ramadan Feast	National Holiday
9/10/2010	Friday	Ramadan Feast Holiday	National Holiday
9/11/2010	Saturday	Ramadan Feast Holiday	National Holiday
9/23/2010	Thursday	September Equinox	Season
10/28/2010	Thursday	Republic Day Eve	Half Day
10/29/2010	Friday	Republic Day	National Holiday
11/10/2010	Wednesday	Ataturk Commemoration Day	Observance
11/15/2010	Monday	Sacrifice Feast Eve	Half Day
11/16/2010	Tuesday	Sacrifice Feast	National Holiday
11/17/2010	Wednesday	Sacrifice Feast Holiday	National Holiday
11/18/2010	Thursday	Sacrifice Feast Holiday	National Holiday
11/19/2010	Friday	Sacrifice Feast Holiday	National Holiday
12/22/2010	Wednesday	December Solstice	Season
12/31/2010	Friday	New Year's Eve	Observance
1/1/2011	Saturday	New Year's Day	National Holiday
3/21/2011	Monday	March Equinox	Season
4/23/2011	Saturday	National Sovereignty and Children's Day	National Holiday
5/1/2011	Sunday	Labor and Solidarity Day	National Holiday
5/19/2011	Thursday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/21/2011	Tuesday	June Solstice	Season
8/29/2011	Monday	Ramadan Feast Eve	Half Day
8/30/2011	Tuesday	Victory Day	National Holiday
8/31/2011	Wednesday	Ramadan Feast Holiday	National Holiday
9/1/2011	Thursday	Ramadan Feast Holiday	National Holiday
9/23/2011	Friday	September Equinox	Season
10/28/2011	Friday	Republic Day Eve	Half Day
10/29/2011	Saturday	Republic Day	National Holiday
11/5/2011	Saturday	Sacrifice Feast Eve	Half Day
11/6/2011	Sunday	Sacrifice Feast	National Holiday
11/7/2011	Monday	Sacrifice Feast Holiday	National Holiday
11/8/2011	Tuesday	Sacrifice Feast Holiday	National Holiday
11/9/2011	Wednesday	Sacrifice Feast Holiday	National Holiday
11/10/2011	Thursday	Ataturk Commemoration Day	Observance
12/22/2011	Thursday	December Solstice	Season
12/31/2011	Saturday	New Year's Eve	Observance
1/1/2012	Sunday	New Year's Day	National Holiday
3/20/2012	Tuesday	March Equinox	Season
4/23/2012	Monday	National Sovereignty and Children's Day	National Holiday
5/1/2012	Tuesday	Labor and Solidarity Day	National Holiday
5/19/2012	Saturday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/21/2012	Thursday	June Solstice	Season
8/18/2012	Saturday	Ramadan Feast Eve	Half Day
8/19/2012	Sunday	Ramadan Feast	National Holiday
8/20/2012	Monday	Ramadan Feast Holiday	National Holiday
8/21/2012	Tuesday	Ramadan Feast Holiday	National Holiday
8/30/2012	Thursday	Victory Day	National Holiday
9/22/2012	Saturday	September Equinox	Season
10/24/2012	Wednesday	Sacrifice Feast Eve	Half Day
10/25/2012	Thursday	Sacrifice Feast	National Holiday
10/26/2012	Friday	Sacrifice Feast Holiday	National Holiday
10/27/2012	Saturday	Sacrifice Feast Holiday	National Holiday
10/28/2012	Sunday	Republic Day Eve	Half Day
10/29/2012	Monday	Republic Day	National Holiday
11/10/2012	Saturday	Ataturk Commemoration Day	Observance
12/21/2012	Friday	December Solstice	Season
12/31/2012	Monday	New Year's Eve	Observance
1/1/2013	Tuesday	New Year's Day	National Holiday
3/20/2013	Wednesday	March Equinox	Season
4/23/2013	Tuesday	National Sovereignty and Children's Day	National Holiday
5/1/2013	Wednesday	Labor and Solidarity Day	National Holiday
5/19/2013	Sunday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/21/2013	Friday	June Solstice	Season
8/7/2013	Wednesday	Ramadan Feast Eve	Half Day
8/8/2013	Thursday	Ramadan Feast	National Holiday
8/9/2013	Friday	Ramadan Feast Holiday	National Holiday
8/10/2013	Saturday	Ramadan Feast Holiday	National Holiday
8/30/2013	Friday	Victory Day	National Holiday
9/22/2013	Sunday	September Equinox	Season
10/14/2013	Monday	Sacrifice Feast Eve	Half Day
10/15/2013	Tuesday	Sacrifice Feast	National Holiday
10/16/2013	Wednesday	Sacrifice Feast Holiday	National Holiday
10/17/2013	Thursday	Sacrifice Feast Holiday	National Holiday
10/18/2013	Friday	Sacrifice Feast Holiday	National Holiday
10/28/2013	Monday	Republic Day Eve	Half Day
10/29/2013	Tuesday	Republic Day	National Holiday
11/10/2013	Sunday	Ataturk Commemoration Day	Observance
12/21/2013	Saturday	December Solstice	Season
12/31/2013	Tuesday	New Year's Eve	Observance
1/1/2014	Wednesday	New Year's Day	National Holiday
3/20/2014	Thursday	March Equinox	Season
4/23/2014	Wednesday	National Sovereignty and Children's Day	National Holiday
5/1/2014	Thursday	Labor and Solidarity Day	National Holiday
5/19/2014	Monday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/21/2014	Saturday	June Solstice	Season
7/27/2014	Sunday	Ramadan Feast Eve	Half Day
7/28/2014	Monday	Ramadan Feast	National Holiday
7/29/2014	Tuesday	Ramadan Feast Holiday	National Holiday
7/30/2014	Wednesday	Ramadan Feast Holiday	National Holiday
8/30/2014	Saturday	Victory Day	National Holiday
9/23/2014	Tuesday	September Equinox	Season
10/3/2014	Friday	Sacrifice Feast Eve	Half Day
10/4/2014	Saturday	Sacrifice Feast	National Holiday
10/5/2014	Sunday	Sacrifice Feast Holiday	National Holiday
10/6/2014	Monday	Sacrifice Feast Holiday	National Holiday
10/7/2014	Tuesday	Sacrifice Feast Holiday	National Holiday
10/28/2014	Tuesday	Republic Day Eve	Half Day
10/29/2014	Wednesday	Republic Day	National Holiday
11/10/2014	Monday	Ataturk Commemoration Day	Observance
12/22/2014	Monday	December Solstice	Season
12/31/2014	Wednesday	New Year's Eve	Observance
1/1/2015	Thursday	New Year's Day	National Holiday
1/24/2015	Saturday	Day of Mourning for King Abdullah	Observance
3/21/2015	Saturday	March Equinox	Season
4/23/2015	Thursday	National Sovereignty and Children's Day	National Holiday
5/1/2015	Friday	Labor and Solidarity Day	National Holiday
5/19/2015	Tuesday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/21/2015	Sunday	June Solstice	Season
7/16/2015	Thursday	Ramadan Feast Eve	Half Day
7/17/2015	Friday	Ramadan Feast	National Holiday
7/18/2015	Saturday	Ramadan Feast Holiday	National Holiday
7/19/2015	Sunday	Ramadan Feast Holiday	National Holiday
8/30/2015	Sunday	Victory Day	National Holiday
9/21/2015	Monday	Eid al Adha Public Sector Holiday	Holiday for Public Servants
9/22/2015	Tuesday	Eid al Adha Public Sector Holiday	Holiday for Public Servants
9/23/2015	Wednesday	Sacrifice Feast Eve	Half Day
9/24/2015	Thursday	Sacrifice Feast	National Holiday
9/25/2015	Friday	Sacrifice Feast Holiday	National Holiday
9/26/2015	Saturday	Sacrifice Feast Holiday	National Holiday
9/27/2015	Sunday	Sacrifice Feast Holiday	National Holiday
10/28/2015	Wednesday	Republic Day Eve	Half Day
10/29/2015	Thursday	Republic Day	National Holiday
11/10/2015	Tuesday	Ataturk Commemoration Day	Observance
12/22/2015	Tuesday	December Solstice	Season
12/31/2015	Thursday	New Year's Eve	Observance
1/1/2016	Friday	New Year's Day	National Holiday
3/20/2016	Sunday	March Equinox	Season
4/23/2016	Saturday	National Sovereignty and Children's Day	National Holiday
5/1/2016	Sunday	Labor and Solidarity Day	National Holiday
5/19/2016	Thursday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/21/2016	Tuesday	June Solstice	Season
7/4/2016	Monday	Ramadan Feast Eve	Half Day
7/5/2016	Tuesday	Ramadan Feast	National Holiday
7/6/2016	Wednesday	Ramadan Feast Holiday	National Holiday
7/7/2016	Thursday	Ramadan Feast Holiday	National Holiday
7/8/2016	Friday	Ramadan Feast Day 4	National Holiday
8/30/2016	Tuesday	Victory Day	National Holiday
9/10/2016	Saturday	Eid al Adha Public Sector Holiday	Holiday for Public Servants
9/11/2016	Sunday	Sacrifice Feast Eve	Half Day
9/12/2016	Monday	Sacrifice Feast	National Holiday
9/13/2016	Tuesday	Sacrifice Feast Holiday	National Holiday
9/14/2016	Wednesday	Sacrifice Feast Holiday	National Holiday
9/15/2016	Thursday	Sacrifice Feast Holiday	National Holiday
9/16/2016	Friday	Eid al Adha Public Sector Holiday	Holiday for Public Servants
9/17/2016	Saturday	Eid al Adha Public Sector Holiday	Holiday for Public Servants
9/22/2016	Thursday	September Equinox	Season
10/28/2016	Friday	Republic Day Eve	Half Day
10/29/2016	Saturday	Republic Day	National Holiday
11/10/2016	Thursday	Ataturk Commemoration Day	Observance
12/21/2016	Wednesday	December Solstice	Season
12/31/2016	Saturday	New Year's Eve	Observance
1/1/2017	Sunday	New Year's Day	National Holiday
3/20/2017	Monday	March Equinox	Season
4/23/2017	Sunday	National Sovereignty and Children's Day	National Holiday
5/1/2017	Monday	Labor and Solidarity Day	National Holiday
5/19/2017	Friday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/21/2017	Wednesday	June Solstice	Season
6/24/2017	Saturday	Ramadan Feast Eve	Half Day
6/25/2017	Sunday	Ramadan Feast	National Holiday
6/26/2017	Monday	Ramadan Feast Holiday	National Holiday
6/27/2017	Tuesday	Ramadan Feast Holiday	National Holiday
7/15/2017	Saturday	Democracy and National Unity Day	National Holiday
8/30/2017	Wednesday	Victory Day	National Holiday
8/31/2017	Thursday	Sacrifice Feast Eve	Half Day
9/1/2017	Friday	Sacrifice Feast	National Holiday
9/2/2017	Saturday	Sacrifice Feast Holiday	National Holiday
9/3/2017	Sunday	Sacrifice Feast Holiday	National Holiday
9/4/2017	Monday	Sacrifice Feast Holiday	National Holiday
9/22/2017	Friday	September Equinox	Season
10/28/2017	Saturday	Republic Day Eve	Half Day
10/29/2017	Sunday	Republic Day	National Holiday
11/10/2017	Friday	Ataturk Commemoration Day	Observance
12/21/2017	Thursday	December Solstice	Season
12/31/2017	Sunday	New Year's Eve	Observance
1/1/2018	Monday	New Year's Day	National Holiday
3/20/2018	Tuesday	March Equinox	Season
4/23/2018	Monday	National Sovereignty and Children's Day	National Holiday
5/1/2018	Tuesday	Labor and Solidarity Day	National Holiday
5/19/2018	Saturday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/14/2018	Thursday	Ramadan Feast Eve	Half Day
6/15/2018	Friday	Ramadan Feast	National Holiday
6/16/2018	Saturday	Ramadan Feast Holiday	National Holiday
6/17/2018	Sunday	Ramadan Feast Holiday	National Holiday
6/21/2018	Thursday	June Solstice	Season
7/15/2018	Sunday	Democracy and National Unity Day	National Holiday
8/20/2018	Monday	Sacrifice Feast Eve	Half Day
8/21/2018	Tuesday	Sacrifice Feast	National Holiday
8/22/2018	Wednesday	Sacrifice Feast Holiday	National Holiday
8/23/2018	Thursday	Sacrifice Feast Holiday	National Holiday
8/24/2018	Friday	Sacrifice Feast Holiday	National Holiday
8/30/2018	Thursday	Victory Day	National Holiday
9/23/2018	Sunday	September Equinox	Season
10/28/2018	Sunday	Republic Day Eve	Half Day
10/29/2018	Monday	Republic Day	National Holiday
11/10/2018	Saturday	Ataturk Commemoration Day	Observance
12/22/2018	Saturday	December Solstice	Season
12/31/2018	Monday	New Year's Eve	Observance
1/1/2019	Tuesday	New Year's Day	National Holiday
3/21/2019	Thursday	March Equinox	Season
4/23/2019	Tuesday	National Sovereignty and Children's Day	National Holiday
5/1/2019	Wednesday	Labor and Solidarity Day	National Holiday
5/19/2019	Sunday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/3/2019	Monday	Ramadan Feast Eve (Private Sector)	National Holiday
6/4/2019	Tuesday	Ramadan Feast	National Holiday
6/5/2019	Wednesday	Ramadan Feast Holiday	National Holiday
6/6/2019	Thursday	Ramadan Feast Holiday	National Holiday
6/7/2019	Friday	Ramadan Feast Day 4	National Holiday
6/21/2019	Friday	June Solstice	Season
7/15/2019	Monday	Democracy and National Unity Day	National Holiday
8/10/2019	Saturday	Sacrifice Feast Eve	Half Day
8/11/2019	Sunday	Sacrifice Feast	National Holiday
8/12/2019	Monday	Sacrifice Feast Holiday	National Holiday
8/13/2019	Tuesday	Sacrifice Feast Holiday	National Holiday
8/14/2019	Wednesday	Sacrifice Feast Holiday	National Holiday
8/30/2019	Friday	Victory Day	National Holiday
9/23/2019	Monday	September Equinox	Season
10/28/2019	Monday	Republic Day Eve	Half Day
10/29/2019	Tuesday	Republic Day	National Holiday
11/10/2019	Sunday	Ataturk Commemoration Day	Observance
12/22/2019	Sunday	December Solstice	Season
12/31/2019	Tuesday	New Year's Eve	Observance
1/1/2020	Wednesday	New Year's Day	National Holiday
3/20/2020	Friday	March Equinox	Season
4/23/2020	Thursday	National Sovereignty and Children's Day	National Holiday
5/1/2020	Friday	Labor and Solidarity Day	National Holiday
5/19/2020	Tuesday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
5/23/2020	Saturday	Ramadan Feast Eve	Half Day
5/24/2020	Sunday	Ramadan Feast	National Holiday
5/25/2020	Monday	Ramadan Feast Holiday	National Holiday
5/26/2020	Tuesday	Ramadan Feast Holiday	National Holiday
6/21/2020	Sunday	June Solstice	Season
7/15/2020	Wednesday	Democracy and National Unity Day	National Holiday
7/30/2020	Thursday	Sacrifice Feast Eve	Half Day
7/31/2020	Friday	Sacrifice Feast	National Holiday
8/1/2020	Saturday	Sacrifice Feast Holiday	National Holiday
8/2/2020	Sunday	Sacrifice Feast Holiday	National Holiday
8/3/2020	Monday	Sacrifice Feast Holiday	National Holiday
8/30/2020	Sunday	Victory Day	National Holiday
9/22/2020	Tuesday	September Equinox	Season
10/28/2020	Wednesday	Republic Day Eve	Half Day
10/29/2020	Thursday	Republic Day	National Holiday
11/10/2020	Tuesday	Ataturk Commemoration Day	Observance
12/21/2020	Monday	December Solstice	Season
12/31/2020	Thursday	New Year's Eve	Observance
1/1/2021	Friday	New Year's Day	National Holiday
3/20/2021	Saturday	March Equinox	Season
4/23/2021	Friday	National Sovereignty and Children's Day	National Holiday
5/1/2021	Saturday	Labor and Solidarity Day	National Holiday
5/12/2021	Wednesday	Ramadan Feast Eve	Half Day
5/13/2021	Thursday	Ramadan Feast	National Holiday
5/14/2021	Friday	Ramadan Feast Holiday	National Holiday
5/15/2021	Saturday	Ramadan Feast Holiday	National Holiday
5/19/2021	Wednesday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/21/2021	Monday	June Solstice	Season
7/15/2021	Thursday	Democracy and National Unity Day	National Holiday
7/19/2021	Monday	Sacrifice Feast Eve	National Holiday
7/20/2021	Tuesday	Sacrifice Feast	National Holiday
7/21/2021	Wednesday	Sacrifice Feast Holiday	National Holiday
7/22/2021	Thursday	Sacrifice Feast Holiday	National Holiday
7/23/2021	Friday	Sacrifice Feast Holiday	National Holiday
8/30/2021	Monday	Victory Day	National Holiday
9/22/2021	Wednesday	September Equinox	Season
10/28/2021	Thursday	Republic Day Eve	Half Day
10/29/2021	Friday	Republic Day	National Holiday
11/10/2021	Wednesday	Ataturk Commemoration Day	Observance
12/21/2021	Tuesday	December Solstice	Season
12/31/2021	Friday	New Year's Eve	Observance
1/1/2022	Saturday	New Year's Day	National Holiday
3/20/2022	Sunday	March Equinox	Season
4/23/2022	Saturday	National Sovereignty and Children's Day	National Holiday
5/1/2022	Sunday	Labor and Solidarity Day	National Holiday
5/2/2022	Monday	Ramadan Feast	National Holiday
5/3/2022	Tuesday	Ramadan Feast Holiday	National Holiday
5/4/2022	Wednesday	Ramadan Feast Holiday	National Holiday
5/19/2022	Thursday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/21/2022	Tuesday	June Solstice	Season
7/8/2022	Friday	Sacrifice Feast Eve	Half Day
7/9/2022	Saturday	Sacrifice Feast	National Holiday
7/10/2022	Sunday	Sacrifice Feast Holiday	National Holiday
7/11/2022	Monday	Sacrifice Feast Holiday	National Holiday
7/12/2022	Tuesday	Sacrifice Feast Holiday	National Holiday
7/13/2022	Wednesday	Eid al Adha Public Sector Holiday	Holiday for Public Servants
7/14/2022	Thursday	Eid al Adha Public Sector Holiday	Holiday for Public Servants
7/15/2022	Friday	Democracy and National Unity Day	National Holiday
8/30/2022	Tuesday	Victory Day	National Holiday
9/23/2022	Friday	September Equinox	Season
10/28/2022	Friday	Republic Day Eve	Half Day
10/29/2022	Saturday	Republic Day	National Holiday
11/10/2022	Thursday	Ataturk Commemoration Day	Observance
12/22/2022	Thursday	December Solstice	Season
12/31/2022	Saturday	New Year's Eve	Observance
1/1/2023	Sunday	New Year's Day	National Holiday
3/21/2023	Tuesday	March Equinox	Season
4/20/2023	Thursday	Ramadan Feast Eve	Half Day
4/21/2023	Friday	Ramadan Feast	National Holiday
4/22/2023	Saturday	Ramadan Feast Holiday	National Holiday
4/23/2023	Sunday	National Sovereignty and Children's Day	National Holiday
5/1/2023	Monday	Labor and Solidarity Day	National Holiday
5/19/2023	Friday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/21/2023	Wednesday	June Solstice	Season
6/26/2023	Monday	Sacrifice Feast Holiday	National Holiday
6/27/2023	Tuesday	Sacrifice Feast Eve	Half Day
6/28/2023	Wednesday	Sacrifice Feast	National Holiday
6/29/2023	Thursday	Sacrifice Feast Holiday	National Holiday
6/30/2023	Friday	Sacrifice Feast Holiday	National Holiday
7/1/2023	Saturday	Sacrifice Feast Holiday	National Holiday
7/15/2023	Saturday	Democracy and National Unity Day	National Holiday
8/30/2023	Wednesday	Victory Day	National Holiday
9/23/2023	Saturday	September Equinox	Season
10/28/2023	Saturday	Republic Day Eve	Half Day
10/29/2023	Sunday	Republic Day	National Holiday
11/10/2023	Friday	Ataturk Commemoration Day	Observance
12/22/2023	Friday	December Solstice	Season
12/31/2023	Sunday	New Year's Eve	Observance
1/1/2024	Monday	New Year's Day	National Holiday
3/11/2024	Monday	Ramadan Start	Observance
3/20/2024	Wednesday	March Equinox	Season
4/8/2024	Monday	Ramadan Feast Holiday	Holiday for Public Servants
4/9/2024	Tuesday	Ramadan Feast Eve (Private Sector)	Half Day
4/10/2024	Wednesday	Ramadan Feast	National Holiday
4/11/2024	Thursday	Ramadan Feast Holiday	National Holiday
4/12/2024	Friday	Ramadan Feast Holiday	National Holiday
4/23/2024	Tuesday	National Sovereignty and Children's Day	National Holiday
5/1/2024	Wednesday	Labor and Solidarity Day	National Holiday
5/19/2024	Sunday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/15/2024	Saturday	Sacrifice Feast Eve	Half Day
6/16/2024	Sunday	Sacrifice Feast	National Holiday
6/17/2024	Monday	Sacrifice Feast Holiday	National Holiday
6/18/2024	Tuesday	Sacrifice Feast Holiday	National Holiday
6/19/2024	Wednesday	Sacrifice Feast Holiday	National Holiday
6/20/2024	Thursday	Eid al Adha Public Sector Holiday	Holiday for Public Servants
6/21/2024	Friday	Eid al Adha Public Sector Holiday	Holiday for Public Servants
7/15/2024	Monday	Democracy and National Unity Day	National Holiday
8/30/2024	Friday	Victory Day	National Holiday
9/22/2024	Sunday	September Equinox	Season
10/28/2024	Monday	Republic Day Eve	Half Day
10/29/2024	Tuesday	Republic Day	National Holiday
11/10/2024	Sunday	Ataturk Commemoration Day	Observance
12/21/2024	Saturday	December Solstice	Season
12/31/2024	Tuesday	New Year's Eve	Observance
1/1/2025	Wednesday	New Year's Day	National Holiday
3/1/2025	Saturday	Ramadan Start	Observance
3/20/2025	Thursday	March Equinox	Season
3/29/2025	Saturday	Ramadan Feast Eve	Half Day
3/30/2025	Sunday	Ramadan Feast	National Holiday
3/31/2025	Monday	Ramadan Feast Holiday	National Holiday
4/1/2025	Tuesday	Ramadan Feast Holiday	National Holiday
4/2/2025	Wednesday	Ramadan Feast Day	Holiday for Public Servants
4/3/2025	Thursday	Ramadan Feast Day	Holiday for Public Servants
